Condition,Accuracy,Count,Avg_Response_Time,Std_Response_Time,Min_Response_Time,Max_Response_Time
failure_success_2shot,0.7777777777777778,9,29.990778817070854,40.38684527867519,6.480406284332275,135.18964219093323
best_failure_3shot,0.7,10,10.787459111213684,3.2122588768702314,5.263874053955078,17.11466383934021
second_best_failure_3shot,0.7,10,10.362178945541382,2.3193447055985543,5.333846092224121,14.024194955825806
failure_failure_2shot,0.6,10,19.17090497016907,10.767539187320953,7.0549726486206055,42.82330298423767
success_success_2shot,0.5555555555555556,9,15.206019592285156,7.316008119162045,5.483371019363403,26.99774932861328
best_success_3shot,0.5,10,7.913240122795105,3.2461008888561085,5.3073694705963135,12.507262706756592
failure_1shot,0.5,10,31.24793999195099,42.06787179735203,10.529203653335571,150.51158618927002
second_best_success_3shot,0.5,10,9.303788447380066,2.686451231314647,5.332338333129883,11.495058059692383
success_failure_2shot,0.5,10,16.61336739063263,6.324764039826556,4.832633018493652,25.783108949661255
success_1shot,0.4,10,26.756730914115906,36.505157952086044,8.236093521118164,129.77091884613037
0shot,0.14285714285714285,7,51.746176624298094,77.10067093736785,11.56301498413086,256.2178530693054
